age_at_marriage,marriage_duration_years,num_children,education_level,employment_status,combined_income,religious_compatibility,cultural_background_match,communication_score,conflict_frequency,conflict_resolution_style,financial_stress_level,mental_health_issues,infidelity_occurred,counseling_attended,social_support,shared_hobbies_count,marriage_type,pre_marital_cohabitation,domestic_violence_history,trust_score,divorced
29,21,0,No Formal Education,Full-time,63402,Same Religion,1,4.754707157,2,Passive,7.871225445,0,0,0,1.62900455,1,Love,0,0,3.559062247,1
31,1,2,Bachelor,Full-time,78214,Not Religious,0,8.41942363,1,Avoidant,2.204317435,0,0,0,6.9863609,3,Love,1,0,5.910944219,0
34,17,2,High School,Part-time,65911,Different Religion,0,4.229997559,2,Passive,4.392357823,0,0,0,4.814587374,4,Arranged,1,0,6.331343776,1
27,2,1,High School,Full-time,54496,Same Religion,1,4.744494318,1,Passive,9.467389142,1,0,1,7.423463232,3,Love,1,0,1.507838877,0
26,5,0,Bachelor,Homemaker,51227,Same Religion,1,7.806657408,3,Avoidant,1.166017263,0,0,1,3.103674905,2,Love,1,0,8.146910576,0
23,3,0,High School,Full-time,36491,Different Religion,1,4.769438935,1,Collaborative,8.162035673,0,0,1,4.016767128,5,Love,1,1,8.012336606,0
23,5,2,Master,Homemaker,38661,Same Religion,1,6.812684463,2,Aggressive,10,1,0,0,5.38905168,3,Love,1,0,7.708381892,0
26,1,2,High School,Unemployed,63494,Not Religious,1,5.002651599,2,Collaborative,5.10238174,0,0,0,5.504389163,1,Love,1,0,5.405658761,0
29,7,0,No Formal Education,Part-time,56885,Same Religion,1,6.34751001,3,Avoidant,8.289768738,0,1,0,7.447480637,6,Love,1,0,7.320687171,0
32,16,2,Master,Homemaker,69761,Different Religion,1,6.492702965,4,Avoidant,1,0,0,0,7.319002404,2,Arranged,1,0,6.021980832,0
23,5,1,High School,Full-time,58284,Different Religion,0,4.082879031,2,Passive,4.330341152,0,0,1,3.85748332,5,Love,0,0,3.230108086,1
35,6,1,Bachelor,Full-time,38720,Different Religion,1,6.414949463,1,Aggressive,7.697457198,0,0,0,8.648953268,2,Love,1,0,6.333649239,1
26,18,2,Bachelor,Full-time,64912,Same Religion,0,4.948194862,3,Avoidant,1.394052645,1,1,1,6.361004838,4,Arranged,0,0,1.739576405,0
27,12,2,Bachelor,Full-time,63712,Not Religious,0,4.087389203,1,Collaborative,8.269161206,0,0,1,3.85328074,4,Love,1,0,3.845345792,1
24,6,1,Bachelor,Full-time,60345,Different Religion,1,3.772216835,1,Passive,10,1,1,1,1.458212684,3,Love,0,0,4.411165798,0
18,2,1,High School,Part-time,63144,Same Religion,1,3.794621298,2,Aggressive,3.179284523,1,1,0,8.524110941,3,Love,1,0,6.227488696,0
32,21,2,Bachelor,Full-time,99313,Different Religion,1,4.786789548,3,Avoidant,6.856315287,1,1,0,4.806497091,3,Other,1,0,9.394761513,1
31,8,0,Bachelor,Full-time,36163,Same Religion,1,7.148403772,1,Collaborative,7.408348486,0,1,0,4.562027244,6,Love,1,0,1.633723702,1
26,2,3,Master,Full-time,40856,Not Religious,1,3.272349218,2,Passive,9.01233925,1,0,1,7.392743791,1,Love,1,0,8.881884396,0
28,3,3,Master,Part-time,25962,Not Religious,1,6.167021866,2,Passive,2.143878166,0,0,0,3.436558074,8,Arranged,1,0,7.243956848,0
30,16,1,High School,Homemaker,61851,Same Religion,0,6.749515403,0,Collaborative,3.366140894,1,0,0,4.964990903,2,Love,1,0,7.151794187,0
20,1,4,High School,Part-time,21280,Same Religion,1,8.001015635,0,Avoidant,6.614875547,0,0,0,4.625629944,5,Arranged,0,0,4.6733065,1
25,40,0,Master,Full-time,64483,Not Religious,1,4.909994969,2,Collaborative,5.227421715,0,0,0,5.757820135,4,Love,0,0,5.66718239,1
31,1,0,No Formal Education,Full-time,58876,Same Religion,0,6.325354894,3,Collaborative,9.555341281,0,0,0,6.945315501,5,Love,1,0,5.489012645,1
21,15,3,Bachelor,Unemployed,48522,Not Religious,1,3.689389076,4,Collaborative,4.235688411,0,0,0,7.548520896,2,Arranged,0,0,8.933919847,1
29,5,3,High School,Full-time,69437,Different Religion,1,3.395767347,3,Aggressive,3.938405971,0,0,0,7.068961311,3,Love,1,1,8.428220177,0
21,6,1,High School,Homemaker,65931,Same Religion,1,6.724884909,2,Aggressive,5.923655471,0,0,0,8.580889688,6,Other,0,1,6.952273114,0
30,21,2,High School,Full-time,92101,Same Religion,1,10,4,Avoidant,5.865894828,0,0,0,4.461078876,5,Love,0,0,5.141495169,1
27,5,4,Bachelor,Full-time,72260,Same Religion,1,7.320678597,2,Collaborative,4.698353314,1,0,0,6.65235601,4,Love,1,0,3.868016382,1
19,7,0,Bachelor,Homemaker,58737,Not Religious,1,3.569089086,3,Collaborative,2.696576722,0,0,0,4.984422411,2,Love,1,0,3.883008274,0
33,1,1,Bachelor,Homemaker,14373,Same Religion,1,3.744246471,2,Avoidant,5.355046926,1,0,0,5.712455627,1,Love,1,0,8.58769101,1
24,1,1,High School,Part-time,78592,Same Religion,0,7.231847814,2,Avoidant,6.158872215,0,1,0,5.677612994,0,Love,0,0,8.71917379,0
23,2,0,High School,Full-time,78753,Not Religious,1,7.44154893,2,Passive,2.874517327,0,0,0,3.122189186,2,Love,1,0,4.53771822,1
29,11,1,Bachelor,Unemployed,86472,Same Religion,0,6.109512623,3,Avoidant,2.158571421,0,0,0,6.375235001,1,Arranged,0,0,7.207885778,0
33,1,4,Master,Full-time,14245,Same Religion,1,5.578701457,1,Collaborative,5.926683977,0,0,0,6.134892732,3,Love,1,0,8.946129383,1
22,1,4,Bachelor,Full-time,64101,Same Religion,0,7.044509567,2,Collaborative,10,0,0,0,5.982820662,3,Love,1,0,2.483949863,0
28,5,2,No Formal Education,Full-time,73170,Same Religion,1,3.937227044,2,Collaborative,8.164487946,0,0,1,5.327750627,3,Love,1,1,3.220375028,1
30,10,0,Bachelor,Part-time,84031,Same Religion,0,8.054881517,1,Avoidant,4.535824988,0,0,0,1.638502928,2,Love,1,0,5.141992025,1
31,12,1,High School,Unemployed,72037,Same Religion,1,6.707423247,4,Collaborative,4.487582413,1,1,1,6.225687815,3,Love,0,0,5.581355753,0
28,1,0,High School,Full-time,61211,Same Religion,1,4.387107267,2,Collaborative,5.434691683,0,0,0,7.110773345,5,Love,1,0,6.580440875,1
26,1,0,Bachelor,Homemaker,39632,Same Religion,1,5.831259041,4,Passive,3.554859484,0,0,0,9.369151218,4,Love,1,1,4.081214776,1
23,28,1,Bachelor,Full-time,57658,Different Religion,1,10,2,Collaborative,6.035196837,0,0,1,6.729976471,6,Love,1,0,7.6374802,0
28,3,2,Bachelor,Full-time,67776,Different Religion,1,5.41298501,1,Collaborative,1.34905474,0,0,1,10,0,Other,1,1,3.26506287,0
22,19,2,Master,Part-time,75656,Same Religion,0,7.12604329,3,Aggressive,3.888951706,0,1,0,6.035882322,3,Other,1,0,7.997486195,0
18,19,5,Master,Unemployed,28275,Same Religion,1,7.668698289,1,Passive,8.432717114,1,0,1,6.452160454,2,Arranged,0,0,7.378494803,1
30,14,5,High School,Homemaker,65908,Same Religion,1,6.384621142,4,Collaborative,6.822055662,0,0,0,5.574962882,6,Love,0,0,4.273093386,0
32,1,3,Master,Unemployed,30544,Same Religion,0,5.19606723,2,Collaborative,6.762920501,0,0,0,4.977749689,1,Arranged,0,0,3.827162367,0
18,17,2,Bachelor,Full-time,65317,Same Religion,0,4.54402902,3,Avoidant,7.852212641,0,0,0,7.156048806,3,Love,1,0,6.929581732,0
22,14,3,Bachelor,Homemaker,37052,Not Religious,1,5.650704301,3,Collaborative,4.20351859,0,0,1,8.525991719,1,Love,1,0,3.048437797,0
31,9,1,Bachelor,Homemaker,31139,Same Religion,1,5.714456508,3,Avoidant,1.542352273,0,0,0,7.05637805,2,Arranged,1,0,4.849120068,0
38,4,1,Bachelor,Full-time,96209,Same Religion,1,8.550001088,1,Avoidant,5.542912352,0,0,1,6.460681578,1,Love,0,0,2.286568397,0
28,3,3,High School,Part-time,32356,Different Religion,1,9.200248347,3,Collaborative,6.197611921,0,0,1,5.277983894,5,Love,1,0,3.9542898,0
24,1,2,Bachelor,Part-time,47266,Different Religion,1,9.622394475,4,Aggressive,9.368342426,0,0,0,5.915518417,4,Love,1,0,7.666350466,0
27,7,0,Bachelor,Full-time,59592,Not Religious,1,5.298156237,1,Collaborative,3.289575746,1,0,0,5.953683931,1,Arranged,1,0,9.252939446,0
34,8,0,Bachelor,Homemaker,18351,Same Religion,1,8.099132423,3,Collaborative,4.385189405,0,1,0,6.499734152,1,Love,1,0,4.968923065,1
24,4,1,High School,Full-time,75707,Same Religion,1,6.558407506,1,Avoidant,7.976035493,0,0,0,6.219699017,1,Love,0,0,5.282106799,0
24,6,1,High School,Part-time,45985,Same Religion,1,3.842761976,1,Aggressive,7.257516069,0,0,0,4.180385684,6,Love,1,0,5.916064883,0
25,4,3,High School,Full-time,39596,Same Religion,1,3.031853366,2,Passive,1.360051922,1,1,0,8.851186017,0,Love,1,0,3.960804547,1
23,10,1,Bachelor,Part-time,78487,Same Religion,1,5.354579808,1,Passive,7.928299547,0,1,0,9.997705172,2,Love,0,0,6.915202592,0
28,23,2,Master,Unemployed,33282,Not Religious,1,5.715920728,3,Collaborative,9.383947517,1,0,0,5.925568395,6,Other,1,1,4.019097096,0
36,1,2,High School,Full-time,68952,Different Religion,1,4.211653456,3,Collaborative,3.754645529,1,0,1,6.191859122,0,Love,1,0,6.897749527,0
29,4,3,Bachelor,Full-time,60471,Same Religion,0,8.473046032,3,Collaborative,7.919087023,0,0,0,7.20772778,2,Other,1,0,6.256676661,0
26,1,1,Bachelor,Homemaker,61145,Same Religion,0,8.975543275,2,Avoidant,6.709185838,0,0,0,4.505108503,2,Love,1,0,8.61498137,0
26,9,1,Master,Unemployed,58872,Not Religious,0,5.626247344,3,Collaborative,2.914053646,0,0,1,7.039023197,5,Love,1,0,4.717375317,0
20,13,0,High School,Part-time,62572,Same Religion,1,9.061077101,3,Collaborative,1.797094612,0,0,1,5.065155754,5,Arranged,1,0,5.294712456,0
32,26,2,High School,Full-time,14457,Not Religious,1,6.851479615,2,Collaborative,6.055036864,0,0,1,5.311818545,1,Other,1,0,6.390764354,0
27,3,0,High School,Full-time,42515,Different Religion,0,2.075746014,3,Collaborative,7.810907884,1,1,0,3.512568205,1,Arranged,1,0,4.516147938,1
27,29,3,No Formal Education,Unemployed,41734,Not Religious,0,1.937457832,1,Collaborative,4.154955922,0,1,0,5.166916466,3,Love,1,0,3.940911545,0
43,1,1,Bachelor,Unemployed,82150,Not Religious,0,6.682084488,5,Collaborative,2.088495407,0,0,0,6.448556075,3,Love,0,0,2.887689071,1
29,9,0,High School,Full-time,63172,Same Religion,1,5.691447499,3,Collaborative,1,1,0,0,9.476124508,5,Love,1,0,4.097390105,0
24,1,3,High School,Part-time,60226,Different Religion,1,4.136059611,1,Collaborative,5.350816724,0,0,0,5.501625755,2,Love,1,0,4.945018248,0
25,22,3,High School,Full-time,97112,Same Religion,0,6.87335507,2,Avoidant,3.152597333,0,1,0,4.972296542,3,Love,0,0,6.214754824,0
33,7,2,High School,Full-time,19510,Same Religion,1,10,9,Aggressive,2.953012642,0,0,0,6.891262219,5,Love,0,0,5.570173587,0
28,11,0,Master,Part-time,88289,Same Religion,1,6.142480659,3,Collaborative,9.282932104,0,1,0,8.346884091,3,Arranged,1,0,9.122843104,0
20,17,0,Bachelor,Full-time,60235,Same Religion,1,5.152105705,2,Aggressive,6.940025336,0,0,1,8.765286514,6,Love,1,0,7.796008087,0
32,1,1,Bachelor,Full-time,44896,Same Religion,1,4.598510405,2,Avoidant,6.738094281,0,0,1,3.138337206,1,Love,1,0,6.897162321,1
24,1,2,Bachelor,Unemployed,49314,Same Religion,1,3.6306622,3,Avoidant,4.877911472,0,0,1,6.195648952,3,Love,0,0,8.328854934,1
37,21,1,Bachelor,Full-time,50036,Same Religion,1,7.629196684,1,Avoidant,6.348374343,0,1,0,9.652080287,6,Love,1,0,8.68716825,0
33,3,2,High School,Unemployed,90001,Not Religious,1,5.146599574,4,Aggressive,5.78669263,0,0,1,3.508861993,4,Love,1,0,5.824259527,1
25,1,0,Bachelor,Part-time,64783,Same Religion,1,5.725273836,3,Aggressive,4.150170476,0,0,1,6.441209748,2,Love,1,0,8.927608836,0
34,6,4,Bachelor,Unemployed,73729,Same Religion,1,5.182296886,2,Collaborative,4.957367328,0,0,0,6.56544422,2,Love,0,0,7.843326631,0
28,9,2,High School,Full-time,45156,Same Religion,1,9.208668402,0,Passive,8.08128022,0,1,0,3.271712409,0,Love,1,0,2.807445546,1
32,1,3,Bachelor,Full-time,62223,Same Religion,0,3.159914267,1,Passive,5.891395887,0,0,0,7.078584761,2,Love,0,0,1.70659754,0
30,3,1,Master,Part-time,78185,Different Religion,1,7.371290605,1,Collaborative,10,0,0,0,7.215787254,3,Love,1,1,2.484038312,0
23,1,1,High School,Full-time,82523,Not Religious,1,7.740515856,2,Collaborative,8.23925115,0,1,0,4.902684678,0,Love,0,0,5.136233979,1
24,5,2,Master,Unemployed,33204,Same Religion,1,4.523871967,2,Collaborative,4.844525595,0,1,0,3.613341197,4,Arranged,1,0,3.911012167,1
33,22,2,High School,Part-time,76171,Same Religion,1,7.212245868,1,Aggressive,5.551673558,0,1,1,8.764695603,4,Arranged,1,0,10,0
26,40,3,Bachelor,Full-time,57082,Different Religion,1,5.660454585,2,Collaborative,5.059685581,0,1,0,3.77610561,1,Arranged,1,0,6.165970295,0
25,10,0,Bachelor,Part-time,67307,Same Religion,1,7.628437427,4,Avoidant,8.550769459,0,0,0,8.916747495,3,Love,0,0,5.623809816,0
23,1,1,Bachelor,Homemaker,49439,Same Religion,1,4.06155624,3,Collaborative,2.10437109,1,0,0,6.756025504,3,Love,1,0,3.239689711,0
30,23,2,High School,Full-time,90516,Different Religion,1,6.538985943,1,Avoidant,4.703519565,0,1,0,5.670937126,3,Love,1,0,6.028146896,1
38,7,1,Master,Full-time,65203,Different Religion,1,6.14514922,1,Avoidant,6.791115083,1,0,0,8.760887542,4,Love,0,0,4.508151045,1
22,1,2,No Formal Education,Unemployed,48239,Same Religion,1,7.0842206,2,Collaborative,6.376157923,0,0,0,5.479751126,0,Love,1,0,6.036383664,0
28,25,2,High School,Full-time,50221,Same Religion,0,1.236481991,2,Aggressive,8.768579749,0,0,0,5.973959481,2,Arranged,0,0,3.081353244,1
35,14,1,Master,Full-time,77188,Different Religion,1,4.562870552,5,Aggressive,4.011523264,1,0,0,7.432522996,5,Love,1,0,7.481970566,0
27,13,1,Bachelor,Full-time,74430,Same Religion,0,7.171331298,4,Collaborative,1.116582382,0,0,1,4.672687605,4,Love,0,0,6.666310802,0
30,12,1,PhD,Full-time,61611,Not Religious,0,9.502686535,0,Avoidant,6.299366875,0,0,0,6.491178983,3,Love,0,0,4.787662576,0
22,2,1,High School,Part-time,52263,Same Religion,0,8.095404025,2,Avoidant,5.548768751,0,0,1,3.670750465,2,Love,1,0,6.301393252,0
30,2,4,Master,Part-time,79102,Same Religion,0,6.807581989,0,Avoidant,6.181685065,0,1,0,7.247383795,1,Love,1,0,6.271865278,1
27,11,2,High School,Homemaker,49476,Same Religion,1,4.304910918,4,Collaborative,4.081559382,0,0,0,4.614658987,2,Love,0,0,8.221166604,1
32,2,3,Master,Unemployed,48470,Not Religious,1,6.596918611,1,Avoidant,6.590028904,0,0,0,6.592136855,4,Love,0,0,6.285462706,0
33,5,0,Bachelor,Homemaker,110521,Different Religion,0,7.171072554,2,Passive,4.43668919,1,0,0,10,2,Love,0,0,6.761531659,1
40,15,1,Bachelor,Full-time,67574,Not Religious,1,9.561726043,1,Aggressive,6.733070609,0,0,0,4.423392008,3,Arranged,1,0,9.030117101,0
30,15,1,High School,Full-time,58355,Same Religion,1,4.229624208,3,Aggressive,4.683423766,0,0,0,9.254098158,3,Love,0,0,3.219606196,1
29,6,1,Master,Homemaker,51113,Not Religious,1,5.24253474,2,Avoidant,8.987404459,1,0,1,5.791100611,3,Love,1,0,7.250763156,0
28,15,2,Bachelor,Full-time,55794,Not Religious,1,10,5,Collaborative,1,1,0,0,7.637683449,3,Love,0,0,4.961063294,0
26,18,1,Bachelor,Unemployed,84957,Same Religion,1,5.602743514,0,Passive,1,0,1,0,8.019713722,7,Other,0,0,5.208102861,1
29,10,1,Bachelor,Full-time,76571,Not Religious,1,6.981040994,1,Aggressive,6.664500562,0,0,0,7.530294526,2,Love,1,0,8.283397512,0
26,2,1,Master,Unemployed,47021,Not Religious,0,3.881444784,4,Aggressive,1.337086443,1,0,0,6.498114144,4,Love,0,0,8.341615736,0
28,3,2,Bachelor,Homemaker,53399,Not Religious,1,5.315281414,3,Aggressive,5.43115956,0,0,0,2.276870957,5,Love,0,0,4.124194208,0
34,3,0,High School,Full-time,33691,Not Religious,1,6.650102168,0,Passive,3.802731192,0,1,0,7.856645907,5,Love,1,0,1.082784228,1
22,1,2,PhD,Full-time,65263,Different Religion,1,5.239006575,1,Aggressive,8.374131916,0,1,0,6.113466668,4,Love,1,0,4.791213055,1
33,3,2,Bachelor,Full-time,10000,Not Religious,1,6.362719945,3,Collaborative,5.147721719,0,0,1,4.603449745,3,Love,1,0,6.909016087,0
34,2,2,Bachelor,Full-time,29178,Same Religion,1,6.510934703,3,Aggressive,3.712045059,1,0,0,4.885127397,5,Love,1,0,6.004969531,0
27,6,4,High School,Full-time,61846,Different Religion,1,6.141942625,4,Collaborative,9.214025138,0,0,0,3.314759334,3,Love,1,1,6.200941281,1
18,23,1,Master,Part-time,10000,Same Religion,0,4.5008558,1,Passive,6.613870352,0,0,0,6.28901935,3,Love,0,0,4.328894949,1
24,1,2,High School,Full-time,105683,Different Religion,1,7.656520673,1,Collaborative,2.205607083,0,0,0,5.076679608,3,Other,1,0,5.849330597,0
34,12,1,Bachelor,Full-time,42266,Different Religion,1,6.362575309,0,Passive,1,0,0,0,5.332642963,3,Love,1,0,5.255448538,1
27,11,3,Master,Full-time,69675,Different Religion,0,4.66875602,4,Collaborative,8.313362428,0,0,0,7.475816459,2,Love,0,0,10,0
23,1,1,High School,Part-time,85355,Not Religious,1,4.38922782,0,Passive,5.837965008,1,0,1,5.411318147,5,Love,0,0,7.502818302,0
25,25,4,Master,Full-time,65371,Same Religion,1,3.939195713,1,Collaborative,7.161410018,0,1,0,6.480271519,2,Arranged,1,0,6.133596429,1
32,8,0,Bachelor,Unemployed,59897,Same Religion,0,8.409780025,2,Collaborative,7.938763156,0,0,1,5.213223796,2,Love,1,0,5.529499375,0
30,4,2,Bachelor,Homemaker,48644,Same Religion,1,4.573431517,2,Collaborative,6.503103957,1,0,1,6.417760879,3,Love,1,0,4.374543891,0
26,14,0,Bachelor,Full-time,33638,Same Religion,1,4.180105828,1,Avoidant,5.77110365,0,0,0,4.468654725,4,Love,1,0,4.253425262,1
26,2,2,Bachelor,Full-time,50487,Different Religion,1,4.021960883,1,Aggressive,4.723402226,0,0,0,3.355304919,3,Love,0,0,6.79120803,0
26,11,2,High School,Unemployed,62060,Same Religion,1,2.021771341,0,Avoidant,6.084820034,1,1,0,5.28374035,5,Arranged,1,0,6.228172473,1
23,1,0,High School,Full-time,59481,Same Religion,1,10,1,Avoidant,4.186622597,0,0,0,5.220835075,1,Arranged,1,0,7.321451776,0
36,18,3,PhD,Full-time,40901,Same Religion,1,6.177864343,2,Passive,8.344192509,0,0,0,4.841542456,4,Love,1,0,4.024877294,0
26,5,4,High School,Part-time,81268,Same Religion,1,4.228760761,0,Avoidant,6.767448508,1,0,0,6.570085547,5,Arranged,1,0,6.511390663,0
34,10,1,Master,Full-time,31388,Different Religion,1,5.311911475,3,Aggressive,8.712885622,0,0,0,8.611393207,7,Love,0,0,7.17265543,1
35,2,2,High School,Full-time,71898,Different Religion,1,3.486741176,1,Aggressive,5.840819993,0,0,0,3.094421196,5,Arranged,0,0,4.950911006,0
32,11,2,Bachelor,Homemaker,77014,Same Religion,0,6.368834242,3,Collaborative,5.20991632,0,0,0,7.359606375,2,Love,0,0,7.613555753,0
25,14,0,Master,Full-time,64760,Different Religion,0,5.69716213,3,Collaborative,4.790879171,0,0,1,9.157345852,5,Love,1,0,4.146872089,0
30,6,1,High School,Homemaker,93277,Same Religion,1,8.227199568,4,Collaborative,9.27832293,0,0,0,7.465786548,1,Arranged,0,0,4.045922022,1
27,9,1,Master,Full-time,68111,Different Religion,1,4.601856906,1,Collaborative,2.049981212,0,0,0,6.41671374,1,Love,0,0,7.291969095,0
23,6,3,Bachelor,Unemployed,87575,Same Religion,1,6.722907458,0,Aggressive,1,0,0,0,6.686561322,3,Love,1,0,5.246975012,1
29,22,0,Bachelor,Part-time,10000,Not Religious,1,6.037100276,0,Passive,4.523118855,0,0,0,7.426538076,4,Love,1,0,8.731683115,0
22,6,3,Bachelor,Full-time,78758,Same Religion,1,4.286267553,2,Avoidant,4.743778711,1,0,0,1,1,Love,0,0,5.334990581,0
33,18,0,Bachelor,Unemployed,71713,Different Religion,1,6.719318204,2,Aggressive,7.775658868,0,0,0,1.90530572,4,Love,0,0,9.737603951,1
25,16,2,Bachelor,Homemaker,70697,Same Religion,0,5.839477823,0,Collaborative,8.486880793,1,0,0,6.28555067,2,Arranged,0,0,5.206167769,0
29,5,2,Master,Full-time,72343,Same Religion,1,7.991108354,1,Avoidant,4.698852304,0,1,0,6.094729954,4,Love,0,0,7.044161802,1
29,2,2,Bachelor,Unemployed,50377,Same Religion,1,6.804445526,2,Collaborative,3.979745705,0,0,0,8.708837094,3,Love,0,0,6.656217785,1
26,5,1,High School,Full-time,75177,Same Religion,1,5.041291457,3,Aggressive,1,0,1,0,5.855964891,1,Love,1,0,5.934972414,1
30,17,0,Master,Unemployed,95627,Not Religious,0,7.777916283,3,Avoidant,10,0,1,0,4.610719293,2,Love,1,0,6.318888252,0
25,2,4,Master,Unemployed,22443,Same Religion,1,6.578817048,1,Aggressive,6.581709554,0,0,0,3.051998607,2,Arranged,0,0,3.826328572,0
32,7,0,Bachelor,Full-time,83798,Different Religion,0,4.959493849,2,Collaborative,8.344832053,0,0,0,5.133204838,5,Love,1,0,7.955516719,1
21,16,2,Bachelor,Full-time,57423,Different Religion,1,7.893278355,1,Avoidant,7.775221504,0,0,0,4.507490397,1,Arranged,1,0,2.142347306,0
28,4,0,Bachelor,Full-time,46808,Same Religion,0,7.734781257,0,Collaborative,1,0,0,0,6.582078237,2,Love,1,0,3.815227378,0
37,10,0,Bachelor,Homemaker,35788,Same Religion,1,4.192090194,4,Collaborative,3.780140192,0,0,1,7.294495466,0,Arranged,1,0,6.144873008,0
22,2,4,Bachelor,Full-time,67596,Not Religious,1,4.544706315,3,Collaborative,5.01053604,0,0,0,3.688520892,1,Love,0,0,2.097664556,1
24,1,2,No Formal Education,Part-time,91651,Same Religion,0,6.248048129,2,Aggressive,4.595168841,0,0,0,7.607060875,3,Love,0,0,7.915402315,1
30,15,1,High School,Full-time,52221,Same Religion,1,5.292634261,2,Collaborative,7.120076571,1,0,0,1,2,Arranged,0,0,4.753781542,1
28,1,1,Bachelor,Unemployed,73333,Different Religion,1,5.354077902,1,Passive,1.65198496,0,0,0,8.537948331,6,Love,0,0,5.161276517,0
29,3,1,Master,Part-time,59790,Same Religion,0,4.411076003,2,Avoidant,3.960305519,0,0,1,4.232155599,3,Love,1,0,8.458351294,1
30,19,0,Bachelor,Unemployed,27130,Same Religion,1,6.344440908,2,Passive,5.005731892,0,0,0,8.12638396,6,Arranged,0,0,7.877629617,1
31,4,3,Master,Homemaker,56413,Same Religion,1,6.444570452,2,Aggressive,2.65376831,0,0,0,4.559818722,2,Other,1,0,6.925324756,0
33,36,0,Bachelor,Full-time,46706,Not Religious,1,3.13623707,3,Aggressive,7.379232609,0,0,0,6.416018991,5,Love,0,0,6.923659074,0
30,38,0,High School,Full-time,39730,Same Religion,1,5.22746281,1,Avoidant,5.73141858,0,1,0,4.916937123,3,Love,0,0,9.758034218,1
26,3,2,Master,Homemaker,51393,Not Religious,1,4.873875558,3,Avoidant,8.046076392,0,0,0,7.338597671,3,Love,1,0,9.486279599,1
31,1,4,Bachelor,Full-time,53632,Same Religion,1,6.553932166,4,Collaborative,10,0,0,0,4.028520908,4,Love,1,0,1.748942906,0
37,12,1,Master,Unemployed,80131,Same Religion,1,7.143148717,0,Collaborative,4.561712073,1,0,0,2.98710602,2,Love,0,0,7.048305417,0
27,5,1,High School,Unemployed,60471,Not Religious,1,7.446878129,5,Avoidant,7.131151122,0,0,0,7.16057758,3,Love,1,0,6.588581869,0
23,1,1,Master,Part-time,31903,Same Religion,1,5.25953294,3,Passive,1,0,0,0,4.897710309,3,Love,1,0,3.495196221,0
33,12,0,Bachelor,Full-time,84131,Same Religion,1,7.070470694,1,Collaborative,1.344288205,0,0,0,9.389445934,5,Love,0,0,4.541018793,0
27,1,3,High School,Full-time,67702,Same Religion,1,2.999274115,3,Aggressive,5.804329108,0,0,0,6.95712085,0,Love,0,0,9.862691422,1
18,20,0,Bachelor,Part-time,65618,Not Religious,1,8.664202279,3,Aggressive,4.223246759,0,0,0,8.301821817,2,Love,1,0,5.791958932,0
32,1,1,Bachelor,Full-time,77470,Same Religion,1,4.610515542,1,Avoidant,9.033094185,0,1,0,8.459060598,3,Love,1,0,6.607459121,1
25,1,2,High School,Part-time,59567,Different Religion,1,3.30534978,0,Collaborative,6.552941168,0,0,1,5.09371905,2,Love,1,0,6.341810529,0
27,1,2,Bachelor,Full-time,49271,Same Religion,0,4.62216507,3,Collaborative,1.422415694,0,0,0,5.99633971,3,Love,0,0,5.076116718,0
29,32,1,Bachelor,Full-time,66931,Same Religion,1,8.892863327,0,Aggressive,5.769704025,0,1,0,6.64815608,5,Love,1,0,7.345600191,0
28,11,0,High School,Full-time,72458,Same Religion,1,7.269968811,1,Collaborative,3.871225835,0,0,1,4.4296323,0,Love,0,0,10,1
31,16,3,Master,Homemaker,67628,Not Religious,1,9.580851247,2,Passive,8.344787604,1,0,0,4.770059417,1,Love,1,0,6.192368894,1
25,5,2,Bachelor,Part-time,76220,Different Religion,1,6.602034261,4,Collaborative,4.488383766,1,0,0,6.08028384,0,Love,1,0,6.227834653,0
30,4,2,High School,Part-time,62009,Different Religion,1,8.714027043,1,Collaborative,4.193291997,0,0,0,8.388959617,6,Arranged,1,0,6.826361835,0
26,2,3,Bachelor,Homemaker,40088,Same Religion,0,5.283625354,2,Aggressive,2.514420114,0,1,0,6.120097362,1,Arranged,1,0,4.966209215,0
31,6,3,Bachelor,Part-time,47416,Same Religion,1,3.385541767,5,Avoidant,2.131222344,0,0,0,6.659244461,5,Love,1,0,6.101484007,0
31,8,1,PhD,Homemaker,87452,Different Religion,1,6.731830329,3,Passive,3.029149448,0,0,0,7.306752302,4,Love,0,0,6.426270702,1
23,9,3,High School,Full-time,60654,Different Religion,1,6.148854233,1,Collaborative,7.425421771,0,1,0,8.33143531,1,Love,0,0,4.421528442,0
33,2,1,Bachelor,Unemployed,37449,Different Religion,0,7.000677885,2,Collaborative,9.257975036,0,0,0,7.409086756,4,Love,1,0,5.54767035,0
25,29,3,High School,Full-time,35562,Same Religion,0,7.664534712,0,Avoidant,9.064504357,0,0,1,5.477845864,5,Arranged,0,0,7.465223167,1
32,1,1,Master,Unemployed,33220,Not Religious,1,6.804575562,2,Collaborative,6.182158041,0,0,0,5.382144981,4,Love,0,0,2.634692415,1
29,33,3,Bachelor,Homemaker,76477,Same Religion,0,5.81010769,0,Collaborative,3.054185922,0,0,0,1,2,Arranged,0,0,6.848934787,1
37,1,2,Master,Full-time,66195,Same Religion,1,5.901899341,2,Collaborative,1.926376416,0,0,0,4.310122134,4,Arranged,0,0,1,0
